channelGrouping,week,pageviews,transactionRevenue,spend,transactions,ROI,cluster
(Other),3,7.0,0.0,3.5,0,0.0,1
(Other),4,1.0,0.0,0.5,0,0.0,1
(Other),9,1.0,0.0,0.5,0,0.0,1
(Other),13,4.0,0.0,2.0,0,0.0,1
(Other),14,39.0,0.0,19.5,0,0.0,1
(Other),15,184.0,0.0,92.0,0,0.0,1
(Other),16,170.0,9.99,85.0,0,0.11752941176470588,1
(Other),17,11.0,0.0,5.5,0,0.0,1
(Other),18,4.0,0.0,2.0,0,0.0,1
(Other),20,6.0,0.0,3.0,0,0.0,1
(Other),21,8.0,0.0,4.0,0,0.0,1
(Other),29,1.0,0.0,0.5,0,0.0,1
(Other),34,1.0,0.0,0.5,0,0.0,1
(Other),35,1.0,0.0,0.5,0,0.0,1
(Other),36,1.0,0.0,0.5,0,0.0,1
(Other),39,2.0,0.0,1.0,0,0.0,1
(Other),47,1.0,0.0,0.5,0,0.0,1
Affiliates,1,532.0,0.0,266.0,0,0.0,1
Affiliates,2,738.0,0.0,369.0,0,0.0,1
Affiliates,3,735.0,0.0,367.5,0,0.0,1
Affiliates,4,768.0,0.0,384.0,0,0.0,1
Affiliates,5,802.0,0.0,401.0,0,0.0,1
Affiliates,6,876.0,21.99,438.0,0,0.050205479452054794,1
Affiliates,7,800.0,0.0,400.0,0,0.0,1
Affiliates,8,689.0,0.0,344.5,0,0.0,1
Affiliates,9,917.0,0.0,458.5,0,0.0,1
Affiliates,10,741.0,7.97,370.5,0,0.021511470985155195,1
Affiliates,11,833.0,0.0,416.5,0,0.0,1
Affiliates,12,889.0,0.0,444.5,0,0.0,1
Affiliates,13,827.0,0.0,413.5,0,0.0,1
Affiliates,14,868.0,0.0,434.0,0,0.0,1
Affiliates,15,861.0,0.0,430.5,0,0.0,1
Affiliates,16,760.0,0.0,380.0,0,0.0,1
Affiliates,17,743.0,0.0,371.5,0,0.0,1
Affiliates,18,823.0,0.0,411.5,0,0.0,1
Affiliates,19,762.0,0.0,381.0,0,0.0,1
Affiliates,20,702.0,0.0,351.0,0,0.0,1
Affiliates,21,768.0,0.0,384.0,0,0.0,1
Affiliates,22,859.0,0.0,429.5,0,0.0,1
Affiliates,23,640.0,0.0,320.0,0,0.0,1
Affiliates,24,804.0,0.0,402.0,0,0.0,1
Affiliates,25,729.0,0.0,364.5,0,0.0,1
Affiliates,26,692.0,0.0,346.0,0,0.0,1
Affiliates,27,1379.0,233.85,689.5,2,0.3391588107324148,1
Affiliates,28,1978.0,232.87,989.0,2,0.23546006066734076,1
Affiliates,29,1120.0,20.99,560.0,0,0.03748214285714285,1
Affiliates,30,695.0,0.0,347.5,0,0.0,1
Affiliates,31,2462.0,0.0,1231.0,0,0.0,1
Affiliates,32,1407.0,15.97,703.5,0,0.022700781805259418,1
Affiliates,33,980.0,53.75,490.0,1,0.1096938775510204,1
Affiliates,34,835.0,0.0,417.5,0,0.0,1
Affiliates,35,2451.0,0.0,1225.5,0,0.0,1
Affiliates,36,1002.0,0.0,501.0,0,0.0,1
Affiliates,37,1114.0,0.0,557.0,0,0.0,1
Affiliates,38,1111.0,0.0,555.5,0,0.0,1
Affiliates,39,869.0,0.0,434.5,0,0.0,1
Affiliates,40,906.0,0.0,453.0,0,0.0,1
Affiliates,41,770.0,9.99,385.0,0,0.02594805194805195,1
Affiliates,42,865.0,0.0,432.5,0,0.0,1
Affiliates,43,853.0,0.0,426.5,0,0.0,1
Affiliates,44,745.0,0.0,372.5,0,0.0,1
Affiliates,45,981.0,0.0,490.5,0,0.0,1
Affiliates,46,902.0,0.0,451.0,0,0.0,1
Affiliates,47,767.0,0.0,383.5,0,0.0,1
Affiliates,48,637.0,0.0,318.5,0,0.0,1
Affiliates,49,791.0,0.0,395.5,0,0.0,1
Affiliates,50,631.0,0.0,315.5,0,0.0,1
Affiliates,51,633.0,0.0,316.5,0,0.0,1
Affiliates,52,375.0,0.0,187.5,0,0.0,1
Direct,1,11117.0,8360.14,5558.5,84,1.5040280651254834,0
Direct,2,8917.0,6761.37,4458.5,68,1.5165122799147694,0
Direct,3,10651.0,5716.89,5325.5,57,1.0734935686789973,0
Direct,4,14636.0,5362.5599999999995,7318.0,54,0.7327903798852144,0
Direct,5,9552.0,8871.24,4776.0,89,1.8574623115577888,0
Direct,6,8029.0,9437.960000000001,4014.5,94,2.350967741935484,0
Direct,7,11871.0,26561.019999999997,5935.5,266,4.474942296352455,0
Direct,8,9878.0,10752.210000000001,4939.0,108,2.17700141729095,0
Direct,9,9676.0,6405.96,4838.0,64,1.3240926002480364,0
Direct,10,9525.0,5162.59,4762.5,52,1.0840083989501312,0
Direct,11,9005.0,4403.31,4502.5,44,0.9779700166574127,0
Direct,12,9304.0,12030.56,4652.0,120,2.586104901117799,0
